address,city,state,zipcode,property_type,square_footage,lot_size,num_rooms,num_bedrooms,num_baths,year_built,last_sale_amount,last_sale_date,estimated_value
2495 S Milwaukee St,Denver,CO,80210,Single Family Residence,3885,7500.00,13,4,5.000,2010,350000,2010-06-07,1684147
2690 Niagara St,Denver,CO,80207,Single Family Residence,1343,7500.00,6,3,1.000,1948,31500,1978-02-01,343104
3425 Grove St,Denver,CO,80211,Single Family Residence,992,6250.00,5,2,2.000,1921,258000,2002-02-19,510436
4794 Claude Ct,Denver,CO,80216,Single Family Residence,491,2990.00,3,1,1.000,1891,0,2011-04-27,184105
3640 N Gaylord St,Denver,CO,80205,Single Family Residence,1365,4690.00,6,3,1.000,1912,52600,1980-09-01,390055
2836 Dahlia St,Denver,CO,80207,Single Family Residence,1112,5190.00,5,2,2.000,1925,15000,1979-08-01,433793
4244 Julian St,Denver,CO,80211,Single Family Residence,1110,6250.00,5,2,1.000,1910,65000,1993-06-23,471513
3000 S High St,Denver,CO,80210,Single Family Residence,1489,12400.00,6,3,3.000,1955,443000,2008-05-28,660449
1366 S Dale Ct,Denver,CO,80219,Single Family Residence,816,6060.00,4,2,1.000,1954,28800,1975-03-01,253949
3079 S Detroit Way,Denver,CO,80210,Single Family Residence,1795,9040.00,6,2,3.000,1958,67000,1994-11-01,759783
6970 Zuni St,Denver,CO,80221,Single Family Residence,850,6000.00,4,2,2.000,1955,182900,2001-11-26,262459
7623 Navajo St,Denver,CO,80221,Single Family Residence,1258,8450.00,6,3,2.000,1958,264900,2015-12-07,285387
7647 Umatilla St,Denver,CO,80221,Single Family Residence,912,6600.00,5,3,2.000,1957,170000,2002-03-19,259919
5353 Osceola St,Denver,CO,80212,Single Family Residence,1094,21400.00,5,3,1.000,1940,220000,2015-03-31,297933
1761 Samuel Dr,Denver,CO,80221,Single Family Residence,850,7082.00,4,2,2.000,1956,100000,2014-04-29,252595
1760 W 83rd Ave,Denver,CO,80221,Single Family Residence,975,7200.00,5,3,2.000,1959,120000,2008-12-02,274673
5250 Perry St,Denver,CO,80212,Single Family Residence,1743,6750.00,6,3,2.500,2010,366800,2014-11-24,327379
65 Leona Dr,Denver,CO,80221,Single Family Residence,950,7372.00,8,5,2.000,1972,110000,2010-09-28,256645
4455 Alcott St,Denver,CO,80211,Single Family Residence,874,4690.00,4,2,1.000,1907,69019,1994-07-01,394754
1482 S Locust St,Denver,CO,80224,Single Family Residence,963,7340.00,5,3,1.000,1955,290000,2016-06-22,313426
3999 E Dartmouth Ave,Denver,CO,80210,Single Family Residence,1391,12120.00,5,2,1.000,1954,240000,2010-09-24,482934
18873 Mitchell Pl,Denver,CO,80249,Single Family Residence,2938,6000.00,8,3,3.000,1997,253400,1998-04-22,374225
2530 S Marion St,Denver,CO,80210,Single Family Residence,871,6250.00,5,2,2.000,1942,241000,2003-04-11,456591
860 S Clarkson St,Denver,CO,80209,Single Family Residence,1488,6340.00,7,3,3.000,1903,718850,2015-05-06,802985
1383 S University Blvd,Denver,CO,80210,Single Family Residence,1193,6500.00,6,2,2.000,1921,319000,2012-08-23,578315
3579 Grape St,Denver,CO,80207,Single Family Residence,1096,6250.00,5,3,2.000,1955,358750,2016-08-12,362675
5045 Adams St,Denver,CO,80216,Single Family Residence,806,6280.00,4,2,2.000,1955,125000,1999-09-29,239099
2645 Albion St,Denver,CO,80207,Single Family Residence,2077,5950.00,9,5,2.000,1915,5600,1994-07-01,579323
5289 Dearborn St,Denver,CO,80239,Single Family Residence,1856,8260.00,7,3,3.000,2000,175000,2009-07-24,295518
3917 E 26th Avenue Pkwy,Denver,CO,80205,Single Family Residence,2188,7500.00,6,3,3.000,2003,290000,2009-12-24,678098
1596 S Grape St,Denver,CO,80222,Single Family Residence,1366,6750.00,4,2,2.000,1965,341500,2013-06-10,449759
5524 E Jefferson Ave,Denver,CO,80237,Single Family Residence,1283,13400.00,6,3,3.000,1956,275000,2011-09-14,569245
4231 Osceola St,Denver,CO,80212,Single Family Residence,828,6710.00,5,2,2.000,1952,75000,1993-07-01,428932
731 S Tejon St,Denver,CO,80223,Single Family Residence,815,7770.00,6,2,2.000,1951,173000,2001-02-02,278968
1795 S Shoshone St,Denver,CO,80223,Single Family Residence,825,7200.00,5,2,1.000,1953,165000,2015-01-15,248627
3003 Birch St,Denver,CO,80207,Single Family Residence,3283,11400.00,10,4,3.000,1931,594000,2013-05-28,870690
2215 W Gill Pl,Denver,CO,80223,Single Family Residence,1007,7200.00,5,3,1.000,1951,160000,2006-12-03,253264
2571 Oneida St,Denver,CO,80207,Single Family Residence,1005,6330.00,5,2,1.000,1947,217500,2013-04-29,341491
6457 W Kenyon Ave,Denver,CO,80235,Single Family Residence,1761,7313.00,5,3,2.000,1976,88042,2008-04-10,325143
1347 S Wyandot St,Denver,CO,80223,Single Family Residence,827,7330.00,4,2,1.000,1955,31000,1976-05-01,257453
909 Wolff St,Denver,CO,80204,Single Family Residence,1109,6350.00,5,3,2.000,1964,179900,2006-02-03,281852
237 W 3rd Ave,Denver,CO,80223,Single Family Residence,1996,2700.00,6,3,2.000,1884,341100,2013-04-22,522033
590 Glencoe St,Denver,CO,80220,Single Family Residence,2286,7810.00,7,3,3.000,1958,517000,2005-12-22,748095
19994 Robins Dr,Denver,CO,80249,Single Family Residence,1836,3452.00,7,3,3.000,2007,136089,2011-06-30,290327
4436 W Tennessee Ave,Denver,CO,80219,Single Family Residence,1066,9380.00,6,3,2.000,1938,135000,2010-12-14,272438
1647 Krameria St,Denver,CO,80220,Single Family Residence,2580,6500.00,8,4,3.000,1910,393000,2002-11-25,803374
3428 N Milwaukee St,Denver,CO,80205,Single Family Residence,912,6180.00,6,3,2.000,1901,206000,2011-08-17,415795
4375 Dunkirk Way,Denver,CO,80249,Single Family Residence,1888,5459.00,6,3,4.000,1994,294900,2015-05-08,318323
424 N Clarkson St,Denver,CO,80218,Single Family Residence,1821,4690.00,8,3,2.000,1896,450000,2016-04-19,1067825
317 N Lafayette St,Denver,CO,80218,Single Family Residence,3125,6250.00,8,4,5.000,1908,1040000,2004-09-07,1694005
2206 S Emerson St,Denver,CO,80210,Single Family Residence,782,5370.00,5,2,1.000,1940,263000,2008-10-24,679791
218 Hazel Ct,Denver,CO,80219,Single Family Residence,821,7260.00,5,2,1.000,1906,122000,2012-08-09,208191
3361 S Eudora St,Denver,CO,80222,Single Family Residence,3173,8040.00,7,4,5.000,2006,950000,2016-06-30,1148680
1180 S Forest St,Denver,CO,80246,Single Family Residence,901,7140.00,5,3,1.000,1952,61000,1990-09-01,334944
4631 E Amherst Ave,Denver,CO,80222,Single Family Residence,816,6210.00,4,2,1.000,1952,125000,1998-12-03,334916
3358 S Dayton Ct,Denver,CO,80231,Single Family Residence,2255,9960.00,7,4,3.000,1968,260000,2014-06-16,433538
4415 Winona Ct,Denver,CO,80212,Single Family Residence,2704,6250.00,10,3,4.000,2013,255000,2013-01-08,564882
1404 S Glencoe St,Denver,CO,80222,Single Family Residence,1975,7150.00,5,3,5.000,2015,275000,2015-04-16,461955
2534 Akron St,Denver,CO,80238,Single Family Residence,2164,5005.00,7,3,4.000,2004,505000,2015-03-11,628040
1267 S Bryant St,Denver,CO,80219,Single Family Residence,1050,6060.00,5,2,2.000,1954,150000,2015-05-27,270106
7110 E Warren Dr,Denver,CO,80224,Single Family Residence,2389,9649.00,6,3,3.000,1973,260000,2003-07-01,421877
5542 Malta St,Denver,CO,80249,Single Family Residence,1432,4599.00,5,2,3.000,2012,17113000,2010-12-30,281330
4923 Scranton St,Denver,CO,80239,Single Family Residence,1774,7030.00,7,4,2.000,1967,176000,2006-07-25,263226
21327 E 53rd Pl,Denver,CO,80249,Single Family Residence,3305,5953.00,7,4,3.000,2005,190000,2009-10-01,364199
5182 Elkhart St,Denver,CO,80239,Single Family Residence,1945,5065.00,8,4,3.000,1999,181550,2012-10-03,298117
2875 Monaco Pkwy,Denver,CO,80207,Single Family Residence,2605,12300.00,7,3,4.000,1949,350000,2005-09-08,761890
21598 Randolph Pl,Denver,CO,80249,Single Family Residence,1243,2894.00,5,3,2.000,2004,121000,2012-10-01,255909
3500 Ivanhoe St,Denver,CO,80207,Single Family Residence,1205,6250.00,6,3,2.000,1954,195000,2011-09-16,437872
9692 E 29th Ave,Denver,CO,80238,Single Family Residence,1618,3508.00,7,3,3.000,2005,360000,2007-04-12,508759
3846 N Gilpin St,Denver,CO,80205,Single Family Residence,984,3440.00,5,2,1.000,1892,143900,2012-03-27,325479
2844 Galena St,Denver,CO,80238,Single Family Residence,2512,4950.00,8,4,3.000,2005,491640,2006-03-24,680829
4202 W Tufts Ave,Denver,CO,80236,Single Family Residence,1246,9230.00,6,3,2.000,1972,258000,2008-06-30,354883
4320 Federal Blvd,Denver,CO,80211,Single Family Residence,1346,4730.00,6,2,3.000,1904,283500,2011-09-14,637220
