DATE,CUUSA433SAH
1984-01-01,104.100
1985-01-01,106.800
1986-01-01,108.200
1987-01-01,109.600
1988-01-01,110.000
1989-01-01,107.400
1990-01-01,109.800
1991-01-01,114.100
1992-01-01,118.100
1993-01-01,124.100
1994-01-01,131.100
1995-01-01,136.500
1996-01-01,142.600
1997-01-01,147.700
1998-01-01,154.400
1999-01-01,161.900
2000-01-01,170.200
2001-01-01,181.400
2002-01-01,184.400
2003-01-01,185.200
2004-01-01,183.800
2005-01-01,182.800
2006-01-01,187.000
2007-01-01,188.659
2008-01-01,193.263
2009-01-01,192.563
2010-01-01,193.677
2011-01-01,198.002
2012-01-01,200.746
2013-01-01,210.360
2014-01-01,220.654
2015-01-01,229.570
2016-01-01,243.197
